AGE (ka),d18O
0.04,-50.12
0.05,-49.16
0.06,-48.14
0.06,-50.35
0.07,-50.94
0.08,-50.6
0.09,-50.52
0.1,-51.07
0.11,-49.97
0.12,-50.89
0.13,-51.6
0.14,-50.45
0.15,-50.81
0.16,-49.98
0.17,-50.62
0.18,-51.07
0.19,-51.72
0.2,-50.11
0.21,-52.51
0.22,-50.22
0.23,-49.92
0.24,-49.86
0.26,-50.44
0.27,-50.7
0.28,-51.7
0.29,-50.98
0.3,-50.72
0.31,-51.68
0.32,-51.17
0.34,-51.26
0.35,-50.64
0.36,-51.5
0.37,-51.56
0.38,-51.89
0.4,-51
0.41,-50.55
0.42,-50.58
0.43,-51.93
0.44,-50.5
0.45,-50.49
0.47,-51.06
0.48,-51.24
0.49,-50.23
0.5,-52.52
0.52,-51.03
0.53,-50.94
0.54,-49.54
0.55,-50.14
0.57,-51.18
0.58,-49.53
0.59,-51.2
0.61,-51.18
0.62,-49.33
0.63,-49.82
0.65,-50.43
0.66,-51.31
0.67,-51.06
0.69,-51.1
0.7,-51.02
0.72,-51.49
0.73,-51.68
0.74,-51.58
0.76,-50.7
0.77,-50.82
0.79,-50.44
0.8,-50.65
0.81,-50.24
0.82,-49.93
0.84,-49.7
0.85,-49.57
0.86,-51.58
0.88,-50.27
0.89,-51.79
0.9,-49.99
0.92,-51.45
0.93,-51.04
0.95,-51.16
0.96,-51.28
0.98,-50.41
0.99,-51.06
1,-50.98
1.02,-51.55
1.03,-50.61
1.05,-49.76
1.06,-50.36
1.07,-51.06
1.09,-51.2
1.1,-50.17
1.12,-51.09
1.13,-49.6
1.15,-51.35
1.16,-50.9
1.17,-49.91
1.19,-49.89
1.2,-50.1
1.22,-51.15
1.23,-50.29
1.24,-50.31
1.26,-50.3
1.27,-50.8
1.29,-50.77
1.3,-49.77
1.32,-50.47
1.33,-50
1.34,-50.9
1.36,-49.43
1.37,-50.25
1.39,-50.89
1.4,-50.76
1.42,-51
1.43,-51.03
1.45,-50.98
1.46,-49.87
1.48,-51.44
1.49,-50.93
1.51,-50.99
1.53,-50.65
1.54,-50.03
1.56,-51.38
1.57,-50.48
1.59,-50.38
1.6,-51.65
1.62,-51.3
1.64,-50.27
1.65,-51.61
1.67,-50.43
1.69,-50.47
1.7,-51.28
1.72,-51.11
1.74,-50.64
1.75,-50.55
1.77,-50.16
1.79,-51.68
1.8,-50.68
1.82,-51.41
1.84,-51.45
1.86,-50.2
1.87,-51.44
1.89,-49.36
1.91,-50.68
1.92,-50.65
1.94,-50.89
1.96,-50.56
1.97,-50.77
1.99,-51.29
2.01,-51.34
2.03,-50.33
2.04,-51.36
2.06,-49.56
2.08,-51.17
2.1,-51.13
2.11,-50.3
2.13,-51.1
2.15,-50.86
2.17,-51.46
2.18,-51.04
2.2,-50.89
2.22,
2.24,-49.96
2.25,-50.31
2.27,-50.82
2.29,-50.38
2.31,-52.07
2.33,-51.68
2.35,-50.99
2.37,-51.17
2.39,-51.28
2.4,-52.22
2.42,-51.22
2.44,-50.53
2.46,-51.03
2.48,-51.04
2.5,-50.28
2.52,-50.85
2.54,-49.87
2.55,-50.64
2.57,-50.23
2.59,-50.94
2.61,-50.26
2.62,-49.78
2.64,-50.29
2.66,-50.47
2.68,-51.01
2.7,-50.5
2.71,-51.27
2.73,-49.59
2.75,-49.89
2.77,-49.91
2.78,-49.9
2.8,-50.48
2.82,-49.63
2.84,-49.79
2.85,-49.59
2.87,-50.5
2.89,-51.17
2.91,-51.6
2.92,-50.09
2.94,-50.42
2.96,-50.77
2.98,-51.24
3,-50.58
3.02,-51.07
3.04,-50.71
3.06,-50.57
3.07,-50.64
3.09,-50.18
3.11,
3.13,-49.46
3.15,-51.71
3.17,-51.17
3.19,-51.64
3.21,-50.18
3.23,-51.2
3.25,-51.98
3.27,-50.28
3.29,-51.09
3.31,-51.41
3.33,-50.03
3.35,-50.99
3.37,-51.75
3.39,-50.66
3.41,-50.85
3.43,-50.88
3.45,-50.72
3.46,-50.53
3.48,-50.31
3.5,-51.5
3.52,-49.7
3.54,-50.46
3.56,-50.91
3.58,-50.56
3.6,-51.01
3.62,-49.88
3.64,-49.96
3.65,-50.42
3.67,-50.02
3.69,-49.99
3.71,-51.44
3.73,-49.54
3.75,-49.63
3.76,-51.79
3.78,-49.7
3.8,-50.65
3.82,-50.22
3.84,-51.32
3.86,-51.31
3.88,-49.93
3.9,-50.61
3.92,-50.85
3.94,-50.62
3.96,-50.85
3.98,-50.18
4,-51.14
4.02,-51.07
4.04,-49.91
4.06,-49.97
