AGE (yrs),AGE_2 (yrs),d18O
0,125,-54.61
250,375,-55.24
500,625,-55.14
750,875,-55.2
1000,1125,-55.11
1250,1375,-54.92
1500,1625,-54.95
1750,1875,-54.69
2000,2125,-54.77
2250,2375,-54.95
2500,2625,-55.16
2750,2875,-54.69
3000,3125,-54.96
3250,3375,-55.31
3500,3625,-55.09
3750,3875,-54.66
4000,4125,-54.4
4250,4375,-54.46
4500,4625,-54.48
4750,4875,-54.21
5000,5125,-54.45
5250,5375,-54.44
5500,5625,-54.74
5750,5875,-54.5
6000,6125,-54.48
6250,6375,-53.96
6500,6625,-54.16
6750,6875,-54.44
7000,7125,-54.78
7250,7375,-54
7500,7625,-54.48
7750,7875,-54.15
8000,8125,-54.14
8250,8375,-54.46
8500,8625,-54.17
8750,8875,-54.17
9000,9125,-53.97
9250,9375,-53.81
9500,9625,-53.57
9750,9875,-53.73
10000,10125,-53.57
10250,10375,-53.52
10500,10625,-53.37
10750,10875,-53.56
11000,11125,-53.48
11250,11375,-53.18
11500,11625,-53.72
11750,11875,-53.62
12000,12125,-54.54
12250,12375,-55.15
12500,12625,-54.72
12750,12875,-55.89
13000,13125,-55.84
13250,13375,-55.79
13500,13625,-55.55
13750,13875,-55.53
14000,14125,-55.64
14250,14375,-55.29
14500,14625,-55.34
14750,14875,-56.27
15000,15125,-55.95
15250,15375,-56.14
15500,15625,-56.22
15750,15875,-56.33
16000,16125,-56.62
16250,16375,-57.44
16500,16625,-57.35
16750,16875,-57.95
17000,17125,-58.63
17250,17375,-57.91
17500,17625,-58.65
17750,17875,-59.12
18000,18125,-59.01
18250,18375,-59.28
18500,18625,-59.44
18750,18875,-59.03
19000,19125,-59.28
19250,19375,-59.57
19500,19625,-59.29
19750,19875,-59.27
20000,20125,-59.4
20250,20375,-59.36
20500,20625,-59.63
20750,20875,-59.58
21000,21125,-59.74
21250,21375,-59.45
21500,21625,-59.22
21750,21875,-59.56
22000,22125,-59.75
22250,22375,-59.63
22500,22625,-59.89
22750,22875,-59.35
23000,23125,-59.01
23250,23375,-58.89
23500,23625,-59.08
23750,23875,-59.18
24000,24125,-59.58
24250,24375,-59.89
24500,24625,-59.86
24750,24875,-59.74
25000,25125,-59.82
25250,25375,-59.87
25500,25625,-60.21
25750,25875,-59.96
26000,26125,-59.39
26250,26375,-59.46
26500,26625,-59.75
26750,26875,-59.73
27000,27125,-59.16
27250,27375,-59.02
27500,27625,-59.24
27750,27875,-59.4
28000,28125,-59.64
28250,28375,-58.88
28500,28625,-58.92
28750,28875,-58.8
29000,29125,-59.13
29250,29375,-59.39
29500,29625,-58.91
29750,29875,-59.19
30000,30125,-59.7
30250,30375,-59.31
30500,30625,-59.45
30750,30875,-59.38
31000,31125,-59.29
31250,31375,-59.21
31500,31625,-58.8
31750,31875,-58.82
32000,32125,-58.57
32250,32375,-58.97
32500,32625,-59.16
32750,32875,-58.75
33000,33125,-58.56
33250,33375,-58.85
33500,33625,-58.94
33750,33875,-58.84
34000,34125,-59.01
34250,34375,-58.67
34500,34625,-58.15
34750,34875,-58.22
35000,35125,-58.53
35250,35375,-58.52
35500,35625,-58.33
35750,35875,-58.85
36000,36125,-58.72
36250,36375,-58.64
36500,36625,-58.2
36750,36875,-58.27
37000,37125,-57.7
37250,37375,-57.72
37500,37625,-58.2
37750,37875,-58.05
38000,38125,-57.99
38250,38375,-57.56
38500,38625,-58.06
38750,38875,-58.85
39000,39125,-58.91
39250,39375,-58.51
39500,39625,-58.95
39750,39875,-58.87
40000,40125,-58.96
40250,40375,-58.49
40500,40625,-58.33
