Age [ka BP],d18O H2O [per mil SMOW]
115.046,-56.67
115.108,-57.45
115.17,-57.76
115.233,-56.84
115.296,-57.25
115.355,-56.24
115.415,-57.16
115.474,-56.33
115.532,-56.74
115.589,-56.46
115.648,-55.67
115.699,-55.94
115.752,-57.11
115.81,-56.55
115.868,-55.68
115.921,-56.64
115.977,-56.32
116.031,-56.28
116.086,-56.44
116.14,-55.81
116.194,-56.23
116.249,-56.47
116.304,-55.82
116.357,-55.83
116.408,-55.99
116.461,-55.6
116.514,-55.85
116.567,-55.82
116.621,-55.76
116.673,-56.04
116.727,-55.78
116.78,-55.75
116.831,-55.71
116.887,-55.46
116.94,-56.22
116.996,-56.16
117.053,-56.3
117.108,-55.11
117.163,-56.45
117.22,-55.89
117.278,-55.74
117.333,-55.23
117.387,-55.09
117.442,-56
117.497,-55.27
117.548,-54.48
117.6,-55.43
117.655,-55.39
117.709,-54.52
117.759,-54.16
117.81,-55.34
117.865,-55.77
117.921,-55.66
117.978,-55.07
118.034,-55.82
118.093,-55.76
118.151,-55.27
118.206,-54.8
118.26,-54.78
118.316,-55.8
118.372,-54.59
118.428,-55.79
118.483,-55.23
118.538,-54.89
118.593,-55.04
118.649,-55.26
118.704,-54.39
118.756,-54.72
118.808,-55.25
118.861,-54.14
118.914,-54.59
118.968,-55
119.021,-54.62
119.075,-55.14
119.129,-54.5
119.182,-54.67
119.235,-54.87
119.287,-54.13
119.339,-54.69
119.392,-54.58
119.445,-54.9
119.498,-54.41
119.552,-54.04
119.604,-54.93
119.657,-54.6
119.709,-54.33
119.762,-55.21
119.814,-53.33
119.865,-54.52
119.916,-53.71
119.968,-54.08
120.019,-54.17
120.07,-54.28
120.123,-54.1
120.174,-54.21
120.227,-54.35
120.28,-54.42
120.334,-53.7
120.383,-53.87
120.434,-53.7
120.485,-54.23
120.542,-54.49
120.592,-53.8
120.643,-53.82
120.695,-53.38
120.745,-53.98
120.795,-53.75
120.845,-52.99
120.894,-53.68
120.945,-53.77
120.996,-53.53
121.048,-54.13
121.1,-54.1
121.155,-54.45
121.21,-53.54
121.263,-54.23
121.315,-53.82
121.366,-53.08
121.416,-53.1
121.465,-53.47
121.515,-53.63
121.566,-53.65
121.617,-53.18
121.669,-54.13
121.721,-53.98
121.776,-54.5
121.83,-53.94
121.881,-52.94
121.933,-53.01
121.983,-53.98
122.033,-53.53
122.084,-53.36
122.134,-52.9
122.184,-53.27
122.233,-54.1
122.348,-54.02
122.402,-53.72
122.456,-54.3
122.509,-53.59
122.562,-53.5
122.613,-53.49
122.665,-53.17
122.716,-53.82
122.767,-53.89
122.819,-53.55
122.871,-53.57
122.922,-53.1
122.972,-52.9
123.021,-53.04
123.069,-53.52
123.122,-53.64
123.174,-53.9
123.227,-53.75
123.281,-54
123.333,-52.84
123.382,-53.55
123.434,-53.16
123.487,-53.37
123.538,-53.06
123.589,-52.4
123.64,-53.75
123.69,-53.53
123.742,-53.21
123.796,-53.1
123.85,-53.55
123.899,-52.97
123.952,-53.51
124.008,-53.84
124.058,-53.44
124.112,-53.53
124.164,-52.44
124.215,-53.11
124.267,-53.28
124.32,-53.67
124.373,-52.68
124.425,-53.26
124.478,-53.14
124.531,-53.06
124.583,-52.84
124.635,-52.84
124.688,-53.08
124.74,-53.39
124.795,-53.73
124.851,-53.21
124.905,-53.2
124.959,-53.06
125.012,-53.15
125.065,-52.52
125.116,-52.74
125.17,-53.28
125.221,-53.05
125.274,-53.3
125.329,-53.31
125.384,-52.86
125.437,-53.23
125.491,-53.25
125.545,-53.14
125.599,-53.86
125.654,-52.75
125.709,-53.48
125.765,-53.19
125.82,-53.27
125.875,-53.33
125.93,-53.07
125.983,-53.04
126.038,-52.39
126.088,-52.68
126.139,-53.47
126.192,-53.27
126.25,-53.52
126.307,-53.59
126.364,-52.78
126.419,-53.64
126.474,-53.87
126.528,-52.24
126.582,-53.22
126.631,-52.86
126.682,-52.8
126.726,-52.83
126.772,-52.84
126.817,-52.73
126.863,-52.09
126.905,-51.93
126.948,-51.75
126.991,-52.63
127.036,-52.27
127.079,-52.57
127.123,-52.3
127.167,-52.41
127.213,-52.4
127.257,-51.29
127.297,-52.25
127.34,-51.97
127.421,-51.43
127.459,-51.72
127.5,-51.48
127.541,-51.59
127.582,-51.53
127.624,-51.29
127.664,-51.06
127.705,-51.34
127.746,-51.37
127.787,-50.91
127.829,-51.79
127.87,-51.47
127.912,-51.23
127.953,-51.35
127.995,-51.24
128.036,-51.7
128.078,-51.06
128.12,-50.89
128.161,-50.99
128.202,-50.96
128.243,-51.49
128.285,-51.91
128.329,-51.5
128.373,-51.46
128.414,-50.76
128.456,-50.99
128.498,-51.29
128.539,-50.9
128.581,-51.61
128.664,-51.12
128.701,-51.82
128.745,-51.15
128.788,-50.65
128.829,-51.42
128.87,-51.44
128.912,-50.89
128.954,-51.17
128.996,-51.53
129.039,-50.87
129.08,-51.19
129.121,-51.33
129.163,-51.14
129.205,-50.85
129.247,-51.43
129.288,-51.23
129.328,-51.69
129.373,-50.79
129.415,-51.42
129.456,-51.13
129.498,-51.67
129.541,-51.02
129.582,-51.01
129.622,-51.81
129.665,-51.18
129.707,-51.03
129.748,-51.45
129.79,-51.33
129.832,-51.21
129.873,-51.26
129.916,-51.78
129.958,-51.27
130.001,-51.84
130.044,-51.37
130.083,-51.66
130.126,-51.72
130.169,-51.58
130.213,-51.96
130.259,-52.36
130.307,-51.98
130.352,-51.69
130.397,-51.98
130.443,-52.34
130.489,-52.71
130.538,-52.74
130.588,-52.85
130.636,-52.12
130.684,-52.39
130.734,-53.26
130.784,-52.27
130.833,-52.8
130.883,-52.54
130.934,-53.16
130.984,-53.13
131.037,-53.12
131.09,-52.66
131.145,-54.34
131.201,-53.5
131.256,-53.55
131.312,-52.83
131.366,-52.85
131.42,-52.95
131.481,-54.23
131.537,-54.39
131.601,-54.01
131.665,-53.41
131.729,-54.69
131.793,-54.34
131.86,-54.81
131.928,-55.19
131.998,-54.57
132.068,-54.62
132.136,-54.15
132.203,-54.22
132.257,-54.7
132.324,-55.15
132.397,-54.79
132.468,-55.69
132.543,-54.94
132.617,-55.06
132.692,-55.26
132.767,-55.4
132.845,-55.63
132.924,-54.61
133,-55.08
133.075,-54.99
133.153,-55.6
133.229,-55.71
133.311,-56.58
133.393,-55.14
133.468,-55.8
133.543,-55.13
133.619,-56.28
133.695,-56.28
133.776,-56.42
133.856,-56.14
133.937,-56.19
134.018,-55.78
134.097,-56.65
134.176,-56.2
134.254,-56.08
134.333,-56.31
134.411,-56.18
134.489,-56.51
134.57,-57.16
134.652,-57.56
134.739,-57.02
134.826,-57.29
134.912,-56.42
134.997,-58.09
135.09,-58.47
135.183,-57.33
135.267,-57.73
135.351,-57.93
135.432,-57.89
135.514,-57.41
135.588,-57.3
135.671,-58.48
135.765,-58.78
135.855,-57.71
135.939,-58.01
136.023,-58.53
136.114,-58.63
136.205,-59.04
136.295,-58.43
136.385,-58.37
136.473,-58.45
136.562,-58.47
136.65,-58.55
136.737,-58.17
136.821,-57.86
136.91,-58.3
137.01,-59.72
137.102,-58.47
137.191,-58.66
137.283,-57.66
137.369,-58.78
137.455,-58.52
137.546,-59.08
137.64,-58.29
137.724,-58.94
137.81,-58.93
137.903,-58.85
137.996,-58.74
138.087,-58.98
138.178,-59.21
138.269,-58.7
138.359,-58.4
138.451,-59.06
138.542,-58.37
138.632,-58.37
138.721,-59.12
138.816,-58.88
138.911,-59.22
139.009,-59.39
139.107,-59.15
139.201,-58.59
139.294,-59.1
139.388,-58.86
139.482,-58.95
139.574,-59.07
139.665,-59.81
139.76,-59.14
139.855,-59.66
139.947,-59.75
140.038,-59.64
140.132,-59.12
140.227,-59.16
140.32,-59.34
140.412,-59.03
140.499,-59.45
140.587,-59.09
140.675,-59.44
140.763,-59.64
140.855,-59.01
140.947,-59
141.041,-59.13
141.135,-59.07
141.235,-59.35
141.341,-59.39
141.44,-59.1
141.547,-59.6
141.652,-59.04
141.762,-58.77
141.867,-58.91
141.972,-58.79
142.082,-59.27
142.192,-59.36
142.305,-59.31
142.418,-58.32
142.522,-58.75
142.627,-59.66
142.733,-58.42
142.84,-58.83
142.945,-58.71
143.05,-58.97
143.158,-59.71
143.267,-59.06
143.371,-59.44
143.476,-58.62
143.572,-58.17
143.667,-58.39
143.764,-58.61
143.86,-59.5
143.96,-59.84
144.059,-59.47
144.158,-58.18
144.257,-57.85
144.35,-58.58
144.443,-58.62
144.536,-58.79
144.63,-59.34
144.727,-58.58
144.825,-58.83
144.921,-58.82
145.017,-58.98
145.114,-58.73
145.21,-58.37
145.307,-58.63
145.403,-58.81
145.491,-59.08
145.58,-58.99
145.678,-59.22
145.781,-59.42
145.883,-58.7
145.985,-58.38
