Age [ka BP],d18O H2O [per mil SMOW]
115.01,-52.47
115.064,-51.48
115.115,-52.25
115.169,-52.2
115.223,-52.07
115.276,-51.51
115.327,-52.69
115.382,-52.16
115.436,-52.69
115.492,-52.21
115.546,-52.28
115.599,-51.73
115.652,-52.5
115.707,-52.69
115.762,-51.73
115.815,-51.44
115.868,-52.43
115.922,-51.8
115.976,-51.67
116.029,-52.44
116.085,-51.82
116.136,-51.71
116.189,-53.07
116.248,-51.9
116.3,-51.11
116.35,-51.53
116.4,-51.62
116.45,-51.37
116.5,-51.41
116.55,-51.76
116.602,-51.88
116.654,-51.38
116.704,-51.01
116.754,-51.43
116.805,-51.97
116.856,-51.07
116.905,-51.3
116.953,-50.96
117.001,-51.41
117.051,-52.16
117.102,-50.83
117.149,-51.27
117.197,-51.17
117.245,-51.17
117.293,-50.79
117.34,-50.34
117.385,-51.12
117.434,-51.2
117.483,-50.62
117.53,-50.88
117.577,-50.89
117.624,-50.59
117.67,-50.89
117.717,-51.1
117.765,-50.35
117.811,-50.93
117.857,-50.34
117.905,-51.13
117.954,-51.11
118.001,-49.6
118.044,-50.21
118.087,-49.82
118.129,-50.78
118.175,-51.35
118.224,-50.56
118.271,-50.78
118.319,-51.09
118.366,-50.67
118.412,-50.25
118.457,-50.37
118.501,-51.08
118.549,-50.64
118.595,-50.89
118.643,-51.01
118.691,-50.7
118.738,-50.38
118.782,-50.72
118.829,-50.41
118.874,-50.43
118.919,-49.77
118.962,-50.58
119.005,-49.69
119.048,-50.46
119.092,-50.16
119.136,-50.53
119.182,-50.68
119.227,-50.26
119.272,-50.43
119.317,-50.48
119.363,-50.27
119.408,-51.05
119.455,-50.88
119.501,-49.93
119.544,-50.28
119.588,-49.84
119.63,-50.81
119.675,-50.25
119.719,-50.2
119.76,-49.27
119.801,-50.34
119.844,-50.43
119.888,-50.18
119.931,-50.53
119.977,-50.69
120.023,-50.12
120.067,-49.92
120.11,-50.35
120.153,-49.48
120.195,-50.56
120.239,-49.49
120.279,-49.74
120.32,-49.9
120.362,-49.65
120.404,-50.09
120.448,-50.13
120.491,-49.84
120.533,-50
120.576,-50.43
120.62,-50.14
120.664,-49.94
120.707,-50.22
120.75,-50.14
120.793,-49.7
120.833,-49.96
120.875,-49.81
120.917,-49.89
120.958,-49.75
120.999,-49.59
121.04,-49.16
121.078,-50.23
121.121,-50.27
121.162,-49.07
121.203,-49.9
121.244,-49.97
121.286,-49.97
121.328,-49.95
121.37,-49.8
121.412,-49.92
121.453,-49.35
121.492,-49.5
121.532,-48.79
121.57,-49.7
121.611,-50.42
121.653,-49.41
121.693,-49.31
121.732,-49.71
121.773,-49.84
121.814,-49.59
121.855,-49.33
121.895,-49.97
121.937,-50.72
121.982,-50
122.025,-49.86
122.068,-50.22
122.11,-49.87
122.152,-50.05
122.195,-49.76
122.237,-49.52
122.277,-49.29
122.316,-49.76
122.356,-49.19
122.395,-49.54
122.435,-50.26
122.478,-49.91
122.519,-49.61
122.56,-50.03
122.601,-49.91
122.641,-49.48
122.681,-49.47
122.721,-49.63
122.761,-49.99
122.801,-49.33
122.84,-49.36
122.878,-49.56
122.918,-50.33
122.958,-49.25
122.999,-49.59
123.038,-49.48
123.078,-49.76
123.118,-49.24
123.16,-50.76
123.202,-49.23
123.243,-49.33
123.282,-49.89
123.323,-50.26
123.364,-49.18
123.405,-50.26
123.446,-49.5
123.486,-49.77
123.527,-48.84
123.567,-49.89
123.607,-50.08
123.649,-49.26
123.689,-48.97
123.726,-49.09
123.765,-49.36
123.805,-49.8
123.845,-48.68
123.882,-49.11
123.921,-49.57
123.961,-48.97
124,-49.89
124.041,-50.45
124.086,-48.94
124.124,-49.22
124.163,-49.36
124.2,-48.19
124.235,-49.11
124.273,-48.57
124.309,-48.12
124.345,-49.64
124.385,-48.89
124.424,-49.19
124.462,-48.6
124.501,-49.99
124.542,-49.96
124.585,-50.18
124.628,-49.57
124.67,-49.52
124.711,-50.41
124.754,-50.28
124.799,-49.5
124.841,-49.66
124.881,-49.16
124.92,-49.87
124.96,-49.15
125.001,-50.16
125.044,-50.22
125.088,-49.51
125.129,-50.4
125.172,-49.81
125.215,-49.32
125.256,-49.52
125.297,-49.73
125.34,-50.13
125.383,-49.45
125.425,-49.49
125.465,-49.25
125.506,-49.55
125.546,-49.88
125.589,-49.76
125.632,-49.9
125.674,-49.93
125.717,-49.93
125.76,-49.62
125.803,-50.57
125.848,-50.72
125.895,-49.35
125.935,-49.72
125.978,-50.03
126.022,-50.12
126.064,-49.38
126.106,-50.18
126.148,-49.22
126.189,-50.13
126.234,-50.17
126.277,-49.37
126.318,-49.47
126.359,-50.63
126.403,-50
126.448,-50.51
126.495,-50.34
126.541,-49.76
126.584,-49.97
126.626,-49.54
126.668,-49.41
126.709,-49.6
126.749,-48.96
126.789,-48.77
126.827,-49.17
126.866,-49.14
126.904,-48.39
126.94,-48.92
126.978,-48.35
127.015,-49.26
127.053,-48.79
127.09,-48.22
127.126,-48.82
127.164,-49.26
127.203,-49.38
127.243,-49.21
127.281,-48.73
127.319,-48.54
127.357,-49.44
127.397,-49.41
127.437,-49.18
