"Age [ka BP]","d18O H2O [per mil SMOW]","d18O recon [per mil] (d18O values corrected for sea...)","d18O recon [per mil] (d18O values corrected for sea...)","d18O recon [per mil] (Mean d18O content of sea wate...)"
-0.0485,-45.93,-45.94,-45.94,0.01
-0.0455,-43.5,-43.51,-43.51,0.01
-0.0428,-45.99,-46,-46,0.01
-0.0402,-44.26,-44.27,-44.27,0.01
-0.0378,-43.51,-43.52,-43.52,0.01
-0.0352,-45.06,-45.07,-45.07,0.01
-0.0328,-42.39,-42.4,-42.4,0.01
-0.0302,-42.96,-42.97,-42.97,0.01
-0.0272,-42.87,-42.88,-42.88,0.01
-0.0238,-43.37,-43.38,-43.38,0.01
-0.0208,-43.3,-43.31,-43.31,0.01
-0.0182,-44.41,-44.42,-44.42,0.01
-0.0155,-43.33,-43.34,-43.34,0.01
-0.0125,-44.18,-44.19,-44.19,0.01
-0.0092,-44.99,-45,-45,0.01
-0.0058,-45.12,-45.13,-45.13,0.01
-0.002,-46.53,-46.54,-46.54,0.01
0.002,-44.9,-44.91,-44.91,0.01
0.0058,-44.36,-44.37,-44.37,0.01
0.0092,-46.01,-46.02,-46.02,0.01
0.013,-44.73,-44.74,-44.74,0.01
0.017,-43.92,-43.93,-43.93,0.01
0.0208,-45.06,-45.07,-45.07,0.01
0.0242,-45.45,-45.46,-45.46,0.01
0.028,-46.08,-46.09,-46.09,0.01
0.032,-44.8,-44.81,-44.81,0.01
0.0358,-44.68,-44.69,-44.69,0.01
0.0392,-45.24,-45.25,-45.25,0.01
0.0428,-42.43,-42.44,-42.44,0.01
0.0462,-45.16,-45.17,-45.17,0.01
0.05,-45.34,-45.35,-45.35,0.01
0.054,-46.09,-46.1,-46.1,0.01
0.058,-45.37,-45.38,-45.38,0.01
0.062,-45.72,-45.73,-45.73,0.01
0.066,-47.21,-47.22,-47.22,0.01
0.07,-45.37,-45.38,-45.38,0.01
0.0742,-44.65,-44.66,-44.66,0.01
0.0788,-44.23,-44.24,-44.24,0.01
0.083,-46.35,-46.36,-46.36,0.01
0.087,-44.59,-44.6,-44.6,0.01
0.091,-45.82,-45.83,-45.83,0.01
0.095,-46.99,-47,-47,0.01
0.0995,-43.37,-43.38,-43.37,0.01
0.1045,-45.85,-45.86,-45.85,0.01
0.1092,-46.39,-46.4,-46.39,0.01
0.1138,-45.4,-45.41,-45.4,0.01
0.1182,-44.98,-44.99,-44.98,0.01
0.1228,-44.49,-44.5,-44.49,0.01
0.1275,-44.88,-44.89,-44.88,0.01
0.1325,-44.46,-44.47,-44.46,0.01
0.1372,-44.93,-44.94,-44.92,0.01
0.1418,-43.88,-43.89,-43.88,0.01
0.1465,-43.11,-43.12,-43.1,0.01
0.1515,-43.67,-43.68,-43.66,0.01
0.1565,-43.56,-43.57,-43.55,0.01
0.1615,-45.5,-45.51,-45.49,0.01
0.1662,-44.97,-44.98,-44.97,0.01
0.1708,-43.48,-43.49,-43.48,0.01
0.1755,-44.88,-44.89,-44.87,0.01
0.1805,-43.41,-43.42,-43.4,0.01
0.1855,-45.09,-45.1,-45.08,0.01
0.1905,-45.08,-45.09,-45.07,0.01
0.1952,-44.75,-44.76,-44.74,0.01
0.1998,-44.53,-44.54,-44.52,0.01
0.2045,-45.2,-45.21,-45.19,0.01
0.2095,-43.88,-43.89,-43.86,0.01
0.2145,-44.8,-44.81,-44.79,0.01
0.2195,-46.66,-46.67,-46.65,0.01
0.2245,-44.33,-44.34,-44.32,0.01
0.2295,-44.89,-44.9,-44.88,0.01
0.2345,-44.8,-44.81,-44.79,0.01
0.2395,-44.46,-44.47,-44.45,0.01
0.2445,-45.01,-45.02,-45,0.01
0.2495,-45.86,-45.87,-45.85,0.01
0.2548,-44.22,-44.23,-44.2,0.01
0.2602,-45.48,-45.49,-45.47,0.01
0.2655,-44.47,-44.48,-44.45,0.01
0.2705,-45.69,-45.7,-45.67,0.01
0.2758,-45.07,-45.08,-45.05,0.01
0.2812,-45,-45.01,-44.98,0.01
0.2868,-44.91,-44.92,-44.89,0.01
0.2922,-45.82,-45.83,-45.8,0.01
0.2975,-45.85,-45.86,-45.83,0.01
0.3025,-45.88,-45.89,-45.86,0.01
0.3078,-45.05,-45.06,-45.03,0.01
0.3132,-43.9,-43.91,-43.88,0.01
0.3188,-45.04,-45.05,-45.02,0.01
0.3242,-45.82,-45.83,-45.79,0.01
0.3295,-46,-46.01,-45.98,0.01
0.3345,-45.76,-45.77,-45.73,0.01
0.3398,-45.47,-45.48,-45.45,0.01
0.3452,-45.9,-45.91,-45.87,0.01
0.3508,-45.38,-45.39,-45.36,0.01
0.3562,-45.46,-45.47,-45.44,0.01
0.3618,-45.61,-45.62,-45.59,0.01
0.3672,-46.97,-46.98,-46.94,0.01
0.3728,-45.47,-45.48,-45.44,0.01
0.3782,-44.54,-44.55,-44.51,0.01
0.3838,-43.26,-43.27,-43.23,0.01
0.3892,-44.33,-44.34,-44.3,0.01
0.395,-45.91,-45.92,-45.88,0.01
0.401,-45.66,-45.67,-45.63,0.01
0.4065,-44.53,-44.54,-44.49,0.01
0.4115,-45.94,-45.95,-45.91,0.01
0.4168,-44.61,-44.62,-44.58,0.01
0.4222,-46.07,-46.08,-46.04,0.01
0.4278,-44.28,-44.29,-44.24,0.01
0.4332,-45.68,-45.69,-45.64,0.01
0.4385,-43.73,-43.74,-43.7,0.01
0.4435,-43.97,-43.98,-43.93,0.01
0.4488,-45.32,-45.33,-45.28,0.01
0.4542,-44.9,-44.91,-44.86,0.01
0.4598,-45.6,-45.62,-45.58,0.02
0.4652,-43.43,-43.45,-43.4,0.02
0.4708,-44.78,-44.8,-44.75,0.02
0.4762,-45.4,-45.42,-45.37,0.02
0.482,-43.84,-43.86,-43.81,0.02
0.488,-44.09,-44.11,-44.06,0.02
0.4938,-44.87,-44.89,-44.84,0.02
0.4992,-43.76,-43.78,-43.73,0.02
0.505,-44.82,-44.84,-44.79,0.02
0.511,-44.7,-44.72,-44.67,0.02
0.517,-43.78,-43.8,-43.75,0.02
0.523,-45.06,-45.08,-45.02,0.02
0.5292,-45.33,-45.35,-45.29,0.02
0.5358,-45.6,-45.62,-45.56,0.02
0.542,-45.59,-45.61,-45.55,0.02
0.548,-45.74,-45.76,-45.7,0.02
0.554,-44.33,-44.35,-44.29,0.02
0.56,-45.26,-45.28,-45.22,0.02
0.566,-45.37,-45.39,-45.33,0.02
0.572,-45.74,-45.76,-45.69,0.02
0.5782,-44.97,-44.99,-44.93,0.02
0.5848,-45,-45.02,-44.95,0.02
0.591,-44.94,-44.96,-44.89,0.02
0.597,-46.27,-46.29,-46.23,0.02
0.603,-45.81,-45.83,-45.77,0.02
0.609,-44.07,-44.09,-44.03,0.02
0.615,-45.29,-45.31,-45.24,0.02
0.621,-46.75,-46.77,-46.7,0.02
0.627,-43.3,-43.32,-43.25,0.02
0.633,-43.44,-43.46,-43.39,0.02
0.639,-45.3,-45.32,-45.25,0.02
0.645,-46.56,-46.58,-46.51,0.02
0.651,-45.44,-45.46,-45.39,0.02
0.657,-45.64,-45.66,-45.59,0.02
0.6632,-44.71,-44.73,-44.66,0.02
0.6698,-45.71,-45.73,-45.65,0.02
0.6762,-46.22,-46.24,-46.17,0.02
0.6828,-45.49,-45.51,-45.43,0.02
0.6892,-45.09,-45.11,-45.03,0.02
0.6958,-44.36,-44.38,-44.3,0.02
0.702,-42.38,-42.4,-42.32,0.02
0.708,-43.1,-43.12,-43.04,0.02
0.7142,-46.36,-46.38,-46.3,0.02
0.7208,-45.49,-45.51,-45.43,0.02
0.7272,-44.03,-44.05,-43.97,0.02
0.7338,-44.17,-44.19,-44.11,0.02
0.7402,-45.21,-45.23,-45.14,0.02
0.7468,-45.37,-45.39,-45.31,0.02
0.7532,-44.37,-44.39,-44.31,0.02
0.7598,-45.04,-45.06,-44.97,0.02
0.766,-44.27,-44.29,-44.21,0.02
0.772,-44.04,-44.06,-43.97,0.02
0.778,-44.36,-44.38,-44.29,0.02
0.784,-45.93,-45.95,-45.87,0.02
0.7902,-44.14,-44.16,-44.07,0.02
0.7968,-43.97,-43.99,-43.91,0.02
0.803,-44.08,-44.1,-44.02,0.02
0.809,-44.93,-44.95,-44.87,0.02
0.815,-43.47,-43.49,-43.4,0.02
0.821,-44.68,-44.7,-44.61,0.02
0.827,-45.71,-45.73,-45.64,0.02
0.833,-44.71,-44.73,-44.64,0.02
0.8388,-44.11,-44.13,-44.04,0.02
0.8442,-44,-44.02,-43.93,0.02
0.85,-44.7,-44.72,-44.63,0.02
0.856,-44.7,-44.72,-44.63,0.02
0.8622,-44.83,-44.85,-44.76,0.02
0.8688,-42.88,-42.9,-42.81,0.02
0.8755,-42.8,-42.82,-42.73,0.02
0.8825,-44.27,-44.29,-44.2,0.02
0.8892,-44.83,-44.85,-44.75,0.02
0.8958,-43.23,-43.25,-43.16,0.02
0.9025,-44.87,-44.89,-44.79,0.02
0.9095,-44.2,-44.22,-44.13,0.02
0.9165,-43.82,-43.84,-43.75,0.02
0.9235,-42.72,-42.74,-42.65,0.02
0.9308,-46.67,-46.69,-46.59,0.02
0.9382,-44.74,-44.76,-44.66,0.02
0.9455,-45,-45.02,-44.92,0.02
0.9525,-44.25,-44.27,-44.17,0.02
0.9595,-45.78,-45.8,-45.7,0.02
0.9665,-43.95,-43.97,-43.87,0.02
0.9738,-44.78,-44.8,-44.7,0.02
0.9812,-45.47,-45.49,-45.39,0.02
0.9885,-45.44,-45.46,-45.36,0.02
0.9955,-45.6,-45.62,-45.52,0.02
1.0025,-44.58,-44.6,-44.5,0.02
1.0095,-43.88,-43.9,-43.8,0.02
1.0165,-45.14,-45.16,-45.06,0.02
1.0235,-45.14,-45.16,-45.06,0.02
1.0305,-45.32,-45.34,-45.23,0.02
1.0375,-45.61,-45.63,-45.53,0.02
1.0445,-43.95,-43.97,-43.87,0.02
1.0515,-44.26,-44.28,-44.17,0.02
1.0585,-45.53,-45.55,-45.45,0.02
1.0655,-45.44,-45.46,-45.35,0.02
1.0725,-45.11,-45.13,-45.02,0.02
1.0795,-43.15,-43.17,-43.06,0.02
1.0865,-43.54,-43.56,-43.45,0.02
1.0935,-45.66,-45.68,-45.57,0.02
1.1005,-44.01,-44.03,-43.92,0.02
1.1075,-46.19,-46.21,-46.1,0.02
1.1148,-45.48,-45.5,-45.39,0.02
1.1222,-44.63,-44.65,-44.53,0.02
1.1295,-45.59,-45.61,-45.5,0.02
1.1365,-43.7,-43.72,-43.61,0.02
1.1432,-45.6,-45.62,-45.5,0.02
1.1498,-45.38,-45.4,-45.28,0.02
1.1565,-44.9,-44.92,-44.8,0.02
1.1635,-44.92,-44.94,-44.82,0.02
1.1702,-44.86,-44.88,-44.76,0.02
1.1768,-45.07,-45.09,-44.97,0.02
1.1832,-43.63,-43.65,-43.53,0.02
1.1898,-44.03,-44.05,-43.93,0.02
1.1962,-44.29,-44.31,-44.19,0.02
1.2028,-45.55,-45.57,-45.44,0.02
1.2092,-45.08,-45.1,-44.98,0.02
1.2158,-44.06,-44.08,-43.95,0.02
1.2225,-44.16,-44.18,-44.05,0.02
1.2295,-44.97,-44.99,-44.86,0.02
1.2362,-45.4,-45.42,-45.29,0.02
1.2428,-47.02,-47.04,-46.91,0.02
1.2495,-46.45,-46.47,-46.34,0.02
1.2565,-44.96,-44.98,-44.85,0.02
1.2632,-44.31,-44.33,-44.2,0.02
1.2698,-44.38,-44.4,-44.27,0.02
1.2765,-43.86,-43.88,-43.74,0.02
1.2835,-44.61,-44.63,-44.5,0.02
1.2902,-45.94,-45.96,-45.83,0.02
1.2968,-45.41,-45.43,-45.29,0.02
1.3032,-45.6,-45.62,-45.48,0.02
1.3098,-44.62,-44.64,-44.5,0.02
1.3165,-43.78,-43.8,-43.66,0.02
1.3235,-44.79,-44.81,-44.67,0.02
1.3302,-44.59,-44.61,-44.47,0.02
1.3368,-46.08,-46.1,-45.96,0.02
1.343,-44.74,-44.76,-44.61,0.02
1.349,-46.22,-46.24,-46.09,0.02
1.355,-45.79,-45.81,-45.67,0.02
1.361,-45.82,-45.84,-45.7,0.02
1.3665,-43.91,-43.93,-43.78,0.02
1.372,-45.41,-45.43,-45.29,0.02
1.378,-44.28,-44.3,-44.15,0.02
1.3845,-42.86,-42.88,-42.73,0.02
1.3915,-45.07,-45.09,-44.94,0.02
1.3985,-44.03,-44.05,-43.9,0.02
1.4065,-46.27,-46.29,-46.14,0.02
1.415,-44.94,-44.96,-44.81,0.02
1.4235,-45.02,-45.04,-44.89,0.02
1.432,-44.95,-44.97,-44.81,0.02
1.44,-45.5,-45.52,-45.37,0.02
1.448,-44.54,-44.56,-44.41,0.02
1.4555,-43.26,-43.28,-43.13,0.02
1.4625,-44.53,-44.55,-44.39,0.02
1.4695,-42.86,-42.88,-42.72,0.02
1.4765,-44.03,-44.06,-43.9,0.02
1.4835,-46.44,-46.46,-46.3,0.02
1.4905,-45.93,-45.95,-45.79,0.02
1.498,-46.24,-46.26,-46.1,0.02
1.5055,-45.19,-45.21,-45.05,0.02
1.5125,-44.82,-44.84,-44.68,0.02
1.5195,-44.97,-44.99,-44.82,0.02
1.5265,-45.93,-45.95,-45.78,0.02
1.5335,-44.88,-44.9,-44.74,0.02
1.5405,-45,-45.02,-44.85,0.02
1.5475,-44.29,-44.31,-44.14,0.02
1.5545,-45.34,-45.36,-45.19,0.02
1.5615,-45.8,-45.82,-45.65,0.02
1.5685,-44.98,-45,-44.82,0.02
1.5755,-45.13,-45.15,-44.98,0.02
1.5825,-43.31,-43.33,-43.16,0.02
1.59,-43.91,-43.93,-43.75,0.02
1.5975,-44.76,-44.78,-44.6,0.02
1.6045,-45.6,-45.62,-45.44,0.02
1.612,-46.21,-46.24,-46.06,0.02
1.6195,-44.14,-44.16,-43.99,0.02
1.627,-43.49,-43.51,-43.33,0.02
1.6345,-44.31,-44.33,-44.15,0.02
1.642,-46.3,-46.32,-46.14,0.02
1.6495,-45.14,-45.16,-44.98,0.02
1.6565,-45.36,-45.38,-45.2,0.02
1.6635,-45.02,-45.04,-44.85,0.02
1.67,-43.69,-43.71,-43.52,0.02
1.6765,-44.66,-44.68,-44.5,0.02
1.6835,-44.37,-44.39,-44.21,0.02
1.6905,-44.18,-44.2,-44.02,0.02
1.6975,-43.95,-43.97,-43.78,0.02
1.705,-44.24,-44.26,-44.07,0.02
1.7125,-45.44,-45.46,-45.27,0.02
1.72,-45.25,-45.27,-45.08,0.02
1.7275,-46.03,-46.05,-45.86,0.02
1.735,-44.31,-44.33,-44.14,0.02
1.7425,-45.46,-45.48,-45.29,0.02
1.75,-44.67,-44.69,-44.5,0.02
1.7575,-44.59,-44.61,-44.41,0.02
1.7645,-45.41,-45.43,-45.24,0.02
1.7715,-45.22,-45.25,-45.05,0.02
1.7785,-44.83,-44.85,-44.65,0.02
1.7855,-45.25,-45.27,-45.08,0.02
1.793,-44.7,-44.72,-44.52,0.02
1.8005,-42.51,-42.54,-42.34,0.02
1.808,-44.26,-44.28,-44.08,0.02
1.8165,-44.31,-44.34,-44.13,0.02
1.825,-44.63,-44.65,-44.45,0.02
1.833,-43.96,-43.98,-43.77,0.02
1.8415,-43.98,-44,-43.8,0.02
1.85,-45.41,-45.44,-45.23,0.02
1.858,-44.22,-44.25,-44.04,0.02
1.866,-45.48,-45.5,-45.29,0.02
1.874,-46.11,-46.13,-45.92,0.02
1.882,-45.03,-45.05,-44.84,0.02
1.89,-46.07,-46.09,-45.88,0.02
1.898,-45.25,-45.28,-45.07,0.02
1.906,-43.91,-43.93,-43.72,0.02
1.9135,-44.53,-44.55,-44.34,0.02
1.921,-44.23,-44.25,-44.04,0.03
1.9285,-43.95,-43.97,-43.76,0.03
1.9355,-43.47,-43.49,-43.27,0.03
1.943,-44.34,-44.37,-44.15,0.03
1.9505,-44.47,-44.5,-44.28,0.03
1.9575,-44.84,-44.87,-44.65,0.03
1.9645,-44.5,-44.52,-44.3,0.03
1.9715,-44.34,-44.36,-44.14,0.03
1.9785,-45.51,-45.54,-45.32,0.03
1.9855,-44.89,-44.91,-44.69,0.03
1.9925,-44.72,-44.74,-44.52,0.03
2,-43.38,-43.4,-43.18,0.03
2.0075,-43.92,-43.94,-43.72,0.03
2.0145,-45.54,-45.56,-45.34,0.03
2.022,-44.33,-44.35,-44.12,0.03
2.0295,-43.29,-43.32,-43.09,0.03
2.037,-45.67,-45.69,-45.46,0.03
2.0445,-43.65,-43.68,-43.45,0.03
2.0515,-43.32,-43.34,-43.11,0.03
2.0585,-45.6,-45.63,-45.39,0.03
2.0655,-44.36,-44.39,-44.15,0.03
2.0725,-44.1,-44.12,-43.89,0.03
2.0795,-45.78,-45.8,-45.57,0.03
2.0865,-45.77,-45.8,-45.56,0.03
2.094,-45.31,-45.34,-45.1,0.03
2.1015,-46.12,-46.14,-45.9,0.03
