Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
-0.0485,-45.94
-0.0455,-43.51
-0.0428,-46
-0.0402,-44.27
-0.0378,-43.52
-0.0352,-45.07
-0.0328,-42.4
-0.0302,-42.97
-0.0272,-42.88
-0.0238,-43.38
-0.0208,-43.31
-0.0182,-44.42
-0.0155,-43.34
-0.0125,-44.19
-0.0092,-45
-0.0058,-45.13
-0.002,-46.54
0.002,-44.91
0.0058,-44.37
0.0092,-46.02
0.013,-44.74
0.017,-43.93
0.0208,-45.07
0.0242,-45.46
0.028,-46.09
0.032,-44.81
0.0358,-44.69
0.0392,-45.25
0.0428,-42.44
0.0462,-45.17
0.05,-45.35
0.054,-46.1
0.058,-45.38
0.062,-45.73
0.066,-47.22
0.07,-45.38
0.0742,-44.66
0.0788,-44.24
0.083,-46.36
0.087,-44.6
0.091,-45.83
0.095,-47
0.0995,-43.37
0.1045,-45.85
0.1092,-46.39
0.1138,-45.4
0.1182,-44.98
0.1228,-44.49
0.1275,-44.88
0.1325,-44.46
0.1372,-44.92
0.1418,-43.88
0.1465,-43.1
0.1515,-43.66
0.1565,-43.55
0.1615,-45.49
0.1662,-44.97
0.1708,-43.48
0.1755,-44.87
0.1805,-43.4
0.1855,-45.08
0.1905,-45.07
0.1952,-44.74
0.1998,-44.52
0.2045,-45.19
0.2095,-43.86
0.2145,-44.79
0.2195,-46.65
0.2245,-44.32
0.2295,-44.88
0.2345,-44.79
0.2395,-44.45
0.2445,-45
0.2495,-45.85
0.2548,-44.2
0.2602,-45.47
0.2655,-44.45
0.2705,-45.67
0.2758,-45.05
0.2812,-44.98
0.2868,-44.89
0.2922,-45.8
0.2975,-45.83
0.3025,-45.86
0.3078,-45.03
0.3132,-43.88
0.3188,-45.02
0.3242,-45.79
0.3295,-45.98
0.3345,-45.73
0.3398,-45.45
0.3452,-45.87
0.3508,-45.36
0.3562,-45.44
0.3618,-45.59
0.3672,-46.94
0.3728,-45.44
0.3782,-44.51
0.3838,-43.23
0.3892,-44.3
0.395,-45.88
0.401,-45.63
0.4065,-44.49
0.4115,-45.91
0.4168,-44.58
0.4222,-46.04
0.4278,-44.24
0.4332,-45.64
0.4385,-43.7
0.4435,-43.93
0.4488,-45.28
0.4542,-44.86
0.4598,-45.58
0.4652,-43.4
0.4708,-44.75
0.4762,-45.37
0.482,-43.81
0.488,-44.06
0.4938,-44.84
0.4992,-43.73
0.505,-44.79
0.511,-44.67
0.517,-43.75
0.523,-45.02
0.5292,-45.29
0.5358,-45.56
0.542,-45.55
0.548,-45.7
0.554,-44.29
0.56,-45.22
0.566,-45.33
0.572,-45.69
0.5782,-44.93
0.5848,-44.95
0.591,-44.89
0.597,-46.23
0.603,-45.77
0.609,-44.03
0.615,-45.24
0.621,-46.7
0.627,-43.25
0.633,-43.39
0.639,-45.25
0.645,-46.51
0.651,-45.39
0.657,-45.59
0.6632,-44.66
0.6698,-45.65
0.6762,-46.17
0.6828,-45.43
0.6892,-45.03
0.6958,-44.3
0.702,-42.32
0.708,-43.04
0.7142,-46.3
0.7208,-45.43
0.7272,-43.97
0.7338,-44.11
0.7402,-45.14
0.7468,-45.31
0.7532,-44.31
0.7598,-44.97
0.766,-44.21
0.772,-43.97
0.778,-44.29
0.784,-45.87
0.7902,-44.07
0.7968,-43.91
0.803,-44.02
0.809,-44.87
0.815,-43.4
0.821,-44.61
0.827,-45.64
0.833,-44.64
0.8388,-44.04
0.8442,-43.93
0.85,-44.63
0.856,-44.63
0.8622,-44.76
0.8688,-42.81
0.8755,-42.73
0.8825,-44.2
0.8892,-44.75
0.8958,-43.16
0.9025,-44.79
0.9095,-44.13
0.9165,-43.75
0.9235,-42.65
0.9308,-46.59
0.9382,-44.66
0.9455,-44.92
0.9525,-44.17
0.9595,-45.7
0.9665,-43.87
0.9738,-44.7
0.9812,-45.39
0.9885,-45.36
0.9955,-45.52
1.0025,-44.5
1.0095,-43.8
1.0165,-45.06
1.0235,-45.06
1.0305,-45.23
1.0375,-45.53
1.0445,-43.87
1.0515,-44.17
1.0585,-45.45
1.0655,-45.35
1.0725,-45.02
1.0795,-43.06
1.0865,-43.45
1.0935,-45.57
1.1005,-43.92
1.1075,-46.1
1.1148,-45.39
1.1222,-44.53
1.1295,-45.5
1.1365,-43.61
1.1432,-45.5
1.1498,-45.28
1.1565,-44.8
1.1635,-44.82
1.1702,-44.76
1.1768,-44.97
1.1832,-43.53
1.1898,-43.93
1.1962,-44.19
1.2028,-45.44
1.2092,-44.98
1.2158,-43.95
1.2225,-44.05
1.2295,-44.86
1.2362,-45.29
1.2428,-46.91
1.2495,-46.34
1.2565,-44.85
1.2632,-44.2
1.2698,-44.27
1.2765,-43.74
1.2835,-44.5
1.2902,-45.83
1.2968,-45.29
1.3032,-45.48
1.3098,-44.5
1.3165,-43.66
1.3235,-44.67
1.3302,-44.47
1.3368,-45.96
1.343,-44.61
1.349,-46.09
1.355,-45.67
1.361,-45.7
1.3665,-43.78
1.372,-45.29
1.378,-44.15
1.3845,-42.73
1.3915,-44.94
1.3985,-43.9
1.4065,-46.14
1.415,-44.81
1.4235,-44.89
1.432,-44.81
1.44,-45.37
1.448,-44.41
1.4555,-43.13
1.4625,-44.39
1.4695,-42.72
1.4765,-43.9
1.4835,-46.3
1.4905,-45.79
1.498,-46.1
1.5055,-45.05
1.5125,-44.68
1.5195,-44.82
1.5265,-45.78
1.5335,-44.74
1.5405,-44.85
1.5475,-44.14
1.5545,-45.19
1.5615,-45.65
1.5685,-44.82
1.5755,-44.98
1.5825,-43.16
1.59,-43.75
1.5975,-44.6
1.6045,-45.44
1.612,-46.06
1.6195,-43.99
1.627,-43.33
1.6345,-44.15
1.642,-46.14
1.6495,-44.98
1.6565,-45.2
1.6635,-44.85
1.67,-43.52
1.6765,-44.5
1.6835,-44.21
1.6905,-44.02
1.6975,-43.78
1.705,-44.07
1.7125,-45.27
1.72,-45.08
1.7275,-45.86
1.735,-44.14
1.7425,-45.29
1.75,-44.5
1.7575,-44.41
1.7645,-45.24
1.7715,-45.05
1.7785,-44.65
1.7855,-45.08
1.793,-44.52
1.8005,-42.34
1.808,-44.08
1.8165,-44.13
1.825,-44.45
1.833,-43.77
1.8415,-43.8
1.85,-45.23
1.858,-44.04
1.866,-45.29
1.874,-45.92
1.882,-44.84
1.89,-45.88
1.898,-45.07
1.906,-43.72
1.9135,-44.34
1.921,-44.04
1.9285,-43.76
1.9355,-43.27
1.943,-44.15
1.9505,-44.28
1.9575,-44.65
1.9645,-44.3
1.9715,-44.14
1.9785,-45.32
1.9855,-44.69
1.9925,-44.52
2,-43.18
2.0075,-43.72
2.0145,-45.34
2.022,-44.12
2.0295,-43.09
2.037,-45.46
2.0445,-43.45
2.0515,-43.11
2.0585,-45.39
2.0655,-44.15
2.0725,-43.89
2.0795,-45.57
2.0865,-45.56
2.094,-45.1
2.1015,-45.9
2.1085,-46.75
2.1155,-43.71
2.1225,-44.74
2.1295,-44.19
2.137,-44.15
2.1445,-45.45
2.1515,-43.86
2.159,-43.4
2.167,-43.13
2.175,-42.06
2.1825,-43.53
2.19,-45.6
2.198,-45.3
2.2055,-45.51
2.2125,-45.38
2.22,-45.49
2.2275,-43.99
2.2345,-44.06
2.242,-43.98
2.2495,-43.8
2.2565,-44.49
2.264,-42.81
2.272,-43.78
2.28,-45.21
2.288,-45.87
2.2955,-44.43
2.303,-45.52
2.3115,-44.95
2.321,-44.85
2.3305,-43.84
2.34,-44.36
2.3495,-43.65
2.3585,-45.12
2.367,-44.8
2.3755,-43.69
2.384,-43.81
2.3925,-44.82
2.401,-44.27
2.4095,-44.66
2.418,-43.8
2.4265,-44.57
2.435,-43.82
2.4435,-44.58
2.452,-45.3
2.4605,-45.59
2.469,-44.41
2.477,-44.39
2.485,-45.83
2.493,-44.61
2.501,-44.34
2.509,-44.22
2.517,-44.74
2.525,-45.25
2.5325,-44.25
2.54,-44.13
2.5475,-44.78
2.555,-46.38
2.563,-45.12
2.571,-43.6
2.579,-45.37
2.5865,-45.62
2.594,-45.08
2.602,-45.26
2.61,-43.28
2.6175,-44.81
2.6245,-43.72
2.632,-44.72
2.6395,-44.8
2.6465,-43.22
2.654,-43.87
2.662,-44.46
2.67,-45.17
2.678,-45.32
2.6855,-44.33
2.693,-44.22
2.701,-43.84
2.709,-44.22
2.7165,-43.28
2.724,-44.57
2.7315,-44.37
2.739,-43.74
2.7465,-44.34
2.7535,-43.7
2.7605,-45.54
2.768,-44.65
2.7755,-43.72
2.7825,-44.56
2.7895,-44.7
2.7965,-43.24
2.8035,-42.66
2.8105,-43.8
2.8175,-44.13
2.8245,-44.33
2.8315,-44.95
2.8385,-43.34
2.8455,-44.08
2.8525,-42.89
2.8595,-43.99
2.867,-44.56
2.8745,-43.98
2.882,-43.83
2.89,-43.02
2.8975,-42.24
2.905,-44.43
2.9125,-45
2.92,-44.19
2.9275,-44.64
2.935,-44.22
2.9425,-44.16
2.95,-44.05
2.9575,-43.53
2.965,-43.93
2.973,-43.81
2.981,-44.24
2.989,-43.69
2.997,-44.77
3.005,-44.18
3.013,-44.39
3.0205,-43.76
3.028,-44.94
3.036,-43.56
3.0435,-45.28
3.051,-45.03
3.0585,-45.58
3.066,-44.82
3.0735,-44.46
3.081,-44.65
3.0885,-43.21
3.0955,-44.58
3.103,-44.46
3.1105,-45.32
3.118,-45.2
3.1255,-43.66
3.133,-43.83
3.1405,-44.76
3.148,-45.15
3.1555,-45.35
3.163,-44.84
3.171,-44.01
3.1795,-43.29
3.1885,-42.31
3.197,-44.55
3.2055,-43.7
