Age [ka BP],d18O H2O [per mil SMOW]
115.212,-58.4
115.468,-59.05
115.959,-58.95
116.5,-59
116.673,-58.55
117.102,-57.83
117.431,-57.78
117.772,-58.1
117.996,-58
118.268,-57.5
118.708,-57.59
119.02,-57.21
119.381,-57.81
119.682,-57.41
119.965,-58.1
120.346,-57.66
120.662,-56.85
120.966,-56.98
121.271,-57.26
121.884,-57.18
122.233,-56.75
122.458,-56.48
122.791,-56.66
123.118,-57.26
123.435,-57.04
123.694,-56.48
124.025,-56.46
124.245,-56.74
124.576,-56.55
124.817,-56.53
125.114,-56.49
125.395,-56.8
125.675,-56.39
125.934,-56.38
126.246,-56.63
126.554,-56.59
126.822,-56.15
127.092,-55.19
127.61,-54.93
127.856,-54.69
128.131,-54.59
128.34,-54.96
128.572,-54.3
128.823,-53.79
129.076,-54.38
129.301,-54.68
129.514,-53.81
129.741,-54.48
130.006,-54.15
130.239,-54.41
130.485,-54.84
130.749,-55.1
131.047,-55.76
131.3,-55.51
131.548,-56.45
131.854,-56.8
132.167,-57.28
132.316,-57.15
132.886,-57.88
133.328,-58.2
133.831,-58.38
134.344,-59.15
134.881,-59.71
135.554,-60.66
135.925,-60.35
136.662,-60.93
137.221,-61.1
137.94,-61.55
138.423,-60.93
138.9,-62.28
139.364,-62.09
139.959,-61.98
140.526,-62.45
141.055,-62.01
141.541,-62.3
142.046,-62.1
142.484,-61.85
142.92,-61.8
143.454,-62.08
144.026,-62.23
144.555,-61.8
145.086,-61.79
145.416,-62.1
145.969,-62.18
