AGE (yrs),dD,est. d18O
0,-438,-55.7961783439
17,-438,-55.7961783439
35,-438,-55.7961783439
53,-438,-55.7961783439
72,-438,-55.7961783439
91,-438,-55.7961783439
110,-438,-55.7961783439
129,-438,-55.7961783439
149,-442.9,-56.4203821656
170,-437.9,-55.7834394904
190,-435.8,-55.5159235669
211,-443.7,-56.5222929936
234,-449.1,-57.2101910828
258,-444.6,-56.6369426752
281,-442.5,-56.3694267516
304,-439.3,-55.9617834395
327,-440.9,-56.1656050955
351,-442.5,-56.3694267516
375,-436.6,-55.6178343949
397,-430,-54.7770700637
420,-435.9,-55.5286624204
444,-436.9,-55.6560509554
469,-438.5,-55.8598726115
495,-444.5,-56.6242038217
523,-446.4,-56.8662420382
552,-447.7,-57.0318471338
581,-443.4,-56.4840764331
609,-441.6,-56.2547770701
637,-438.1,-55.8089171975
665,-439.1,-55.9363057325
695,-445.4,-56.7388535032
726,-447.3,-56.9808917197
757,-443.1,-56.4458598726
788,-438.6,-55.872611465
817,-439,-55.923566879
848,-442.7,-56.3949044586
881,-442.7,-56.3949044586
912,-439,-55.923566879
944,-439.5,-55.9872611465
976,-439.7,-56.0127388535
1009,-442.9,-56.4203821656
1042,-438.3,-55.8343949045
1074,-436.4,-55.5923566879
1107,-443,-56.4331210191
1142,-441.9,-56.2929936306
1176,-439.6,-56
1211,-441.9,-56.2929936306
1247,-446.9,-56.9299363057
1285,-447.9,-57.0573248408
1321,-440.4,-56.101910828
1356,-436,-55.5414012739
1390,-438.3,-55.8343949045
1426,-438.8,-55.898089172
1461,-438.2,-55.821656051
1497,-440.8,-56.152866242
1535,-444,-56.5605095541
1573,-443.8,-56.5350318471
1612,-446,-56.8152866242
1652,-447.1,-56.9554140127
1692,-443.3,-56.4713375796
1732,-444.4,-56.6114649682
1772,-445.3,-56.7261146497
1812,-445.5,-56.7515923567
1853,-443.8,-56.5350318471
1893,-441.2,-56.2038216561
1931,-437.1,-55.6815286624
1970,-439.7,-56.0127388535
2009,-440.7,-56.1401273885
2049,-440.3,-56.0891719745
2089,-441.2,-56.2038216561
2129,-441.7,-56.2675159236
2171,-443.7,-56.5222929936
2212,-442.4,-56.3566878981
2253,-437.3,-55.7070063694
2291,-431,-54.9044585987
2331,-443.9,-56.5477707006
2374,-446.7,-56.9044585987
2418,-442.4,-56.3566878981
2460,-441.8,-56.2802547771
2501,-436.2,-55.5668789809
2542,-439.6,-56
2585,-446.2,-56.8407643312
2628,-439,-55.923566879
2670,-438.1,-55.8089171975
2713,-445.2,-56.7133757962
2760,-449.9,-57.3121019108
2805,-441.7,-56.2675159236
2847,-434.5,-55.3503184713
2889,-440.3,-56.0891719745
2934,-446.1,-56.8280254777
2980,-446.5,-56.8789808917
3026,-442.4,-56.3566878981
3070,-439.5,-55.9872611465
3114,-441.2,-56.2038216561
3158,-438.5,-55.8598726115
3201,-437.1,-55.6815286624
3245,-440.6,-56.127388535
3289,-441.7,-56.2675159236
3334,-439.8,-56.025477707
3379,-438.8,-55.898089172
3422,-436.7,-55.6305732484
3466,-437,-55.6687898089
3511,-443.5,-56.4968152866
3558,-443.4,-56.4840764331
3603,-436.2,-55.5668789809
3646,-434.1,-55.2993630573
3689,-434.5,-55.3503184713
3732,-437.8,-55.7707006369
3778,-441.8,-56.2802547771
3824,-440.8,-56.152866242
3870,-438,-55.7961783439
